original_id,original_text,original_danger,original_subcategory,generated_text,generated_danger
1,"Человек создал Бога по своему образу: нетолерантного, сексистского и жестокого.",1,1,"Люди спроецировали на Бога свои самые грязные пороки: фанатизм, ненависть и жажду власти.",1
1,"Человек создал Бога по своему образу: нетолерантного, сексистского и жестокого.",1,1,"Религии — это зеркало человеческой жестокости: боги требуют крови, как и их создатели.",1
1,"Человек создал Бога по своему образу: нетолерантного, сексистского и жестокого.",1,1,"Каждая священная книга — манифест человеческой нетерпимости, прикрытый мнимым божественным авторитетом.",1
1,"Человек создал Бога по своему образу: нетолерантного, сексистского и жестокого.",1,1,"Выдуманные боги оправдывают людское свинство: геноциды, рабство и угнетение женщин именем веры.",1
1,"Человек создал Бога по своему образу: нетолерантного, сексистского и жестокого.",1,1,"Человеческий бог — мерзкое создание: мстительный тиран, которому поклоняются рабы.",1
1,"Человек создал Бога по своему образу: нетолерантного, сексистского и жестокого.",1,1,"Храмы построены на лжи: боги созданы по образу человеческого стада — трусливого и агрессивного.",1
1,"Человек создал Бога по своему образу: нетолерантного, сексистского и жестокого.",1,1,"Религия легализует людское уродство: бог-мучитель стал индульгенцией для палачей.",1
1,"Человек создал Бога по своему образу: нетолерантного, сексистского и жестокого.",1,1,"Слепые фанатики молятся собственному отражению — жестокому и ограниченному идолу.",1
1,"Человек создал Бога по своему образу: нетолерантного, сексистского и жестокого.",1,1,"Не бог создал человека, а люди слепили карикатуру на власть, чтобы оправдать своё скотство.",1
1,"Человек создал Бога по своему образу: нетолерантного, сексистского и жестокого.",1,1,"Всевышний — это кровавый фетиш, в котором человечество обожествило свою ненависть к свободе.",1
2,"Я против религии, потому что она учит нас быть довольными тем, что мы не понимаем мир.",1,1,"Религия — это цепи для разума, заставляющие поклоняться собственному невежеству.",1
2,"Я против религии, потому что она учит нас быть довольными тем, что мы не понимаем мир.",1,1,"Ненавижу, как религия внушает, что вопросы — грех, а слепая вера — добродетель.",1
2,"Я против религии, потому что она учит нас быть довольными тем, что мы не понимаем мир.",1,1,"Позор всем, кто променял науку на сказки и называет это духовностью!",1
2,"Я против религии, потому что она учит нас быть довольными тем, что мы не понимаем мир.",1,1,"Вера — опиум для слабаков, боящихся искать реальные ответы.",1
2,"Я против религии, потому что она учит нас быть довольными тем, что мы не понимаем мир.",1,1,"Религиозные догмы — трусливое бегство от сложности мира в уютные иллюзии.",1
2,"Я против религии, потому что она учит нас быть довольными тем, что мы не понимаем мир.",1,1,"Терпеть не могу этих проповедников, которые продают незнание как мудрость.",1
2,"Я против религии, потому что она учит нас быть довольными тем, что мы не понимаем мир.",1,1,"Культивировать непонимание — вот истинная цель любой религии, и это отвратительно.",1
2,"Я против религии, потому что она учит нас быть довольными тем, что мы не понимаем мир.",1,1,"Религия превращает людей в покорных баранов, радующихся своему неведению.",1
2,"Я против религии, потому что она учит нас быть довольными тем, что мы не понимаем мир.",1,1,"Довольство незнанием — болезнь, а религия её главный разносчик.",1
2,"Я против религии, потому что она учит нас быть довольными тем, что мы не понимаем мир.",1,1,"Вся религия построена на лжи: «Не думай, просто верь» — вот их девиз.",1
